Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,2010.000000,2039.949951,2008.250000,2031.650024,1946.887817,2095740
2019-04-02,2037.099976,2086.000000,2037.000000,2079.300049,1992.549805,3719663
2019-04-03,2085.000000,2089.600098,2058.100098,2079.300049,1992.549805,2939886
2019-04-04,2078.149902,2079.699951,2007.400024,2014.500000,1930.453369,4397518
2019-04-05,2028.650024,2054.399902,2018.800049,2048.300049,1962.843262,3152103
2019-04-08,2059.000000,2075.000000,2032.699951,2070.750000,1984.356445,2194294
2019-04-09,2070.000000,2098.000000,2057.649902,2091.500000,2004.240967,2690970
2019-04-10,2083.000000,2085.500000,2036.000000,2040.250000,1955.129150,3313062
2019-04-11,2045.000000,2055.000000,2013.650024,2019.500000,1935.244629,3422442
2019-04-12,2038.000000,2039.000000,2007.000000,2014.500000,1930.453369,3198471
2019-04-15,2070.000000,2119.800049,2041.000000,2113.300049,2025.131348,9189201
2019-04-16,2120.000000,2155.949951,2115.550049,2131.800049,2042.859619,5771952
2019-04-18,2149.899902,2155.000000,2114.199951,2150.050049,2060.347900,3413728
2019-04-22,2148.000000,2176.000000,2145.600098,2161.449951,2071.272217,2007135
2019-04-23,2163.000000,2165.500000,2134.050049,2155.050049,2065.139648,2163524
2019-04-24,2158.000000,2195.000000,2156.100098,2183.449951,2092.354492,3003071
2019-04-25,2175.000000,2205.000000,2168.050049,2195.000000,2103.422363,4211526
2019-04-26,2203.000000,2243.949951,2193.149902,2238.550049,2145.155762,2716958
2019-04-30,2238.550049,2266.949951,2230.100098,2260.350098,2166.046387,3488395
2019-05-02,2255.000000,2259.399902,2211.100098,2215.399902,2122.971436,2457699
2019-05-03,2185.000000,2186.050049,2125.000000,2132.000000,2043.051147,3780886
2019-05-06,2110.000000,2165.000000,2108.500000,2157.850098,2067.822754,2891422
2019-05-07,2160.050049,2184.350098,2138.800049,2151.949951,2062.168701,2201698
2019-05-08,2151.000000,2168.000000,2130.399902,2152.850098,2063.031494,1824895
2019-05-09,2145.000000,2184.100098,2136.100098,2172.550049,2081.909424,2264162
2019-05-10,2175.000000,2192.000000,2125.850098,2135.800049,2046.692627,2039633
2019-05-13,2133.000000,2167.000000,2121.649902,2128.750000,2039.936768,1701744
2019-05-14,2135.000000,2159.800049,2072.350098,2092.350098,2005.055420,2456110
2019-05-15,2097.000000,2124.000000,2084.500000,2095.399902,2007.977905,2346876
2019-05-16,2096.000000,2124.000000,2077.050049,2108.750000,2020.770996,1946529
2019-05-17,2112.600098,2135.000000,2090.000000,2095.449951,2008.026123,1947908
2019-05-20,2125.000000,2151.399902,2050.000000,2143.949951,2054.502441,2625116
2019-05-21,2148.050049,2148.699951,2102.550049,2109.750000,2021.729492,1863157
2019-05-22,2110.000000,2121.949951,2075.000000,2081.750000,1994.897339,2595795
2019-05-23,2098.000000,2115.350098,2050.000000,2054.050049,1968.353271,2541294
2019-05-24,2070.000000,2070.000000,2032.250000,2048.000000,1962.555786,2274208
2019-05-27,2054.800049,2068.949951,2040.099976,2055.149902,1969.407227,2329820
2019-05-28,2060.000000,2097.500000,2045.000000,2073.750000,1987.231323,5872979
2019-05-29,2080.000000,2123.699951,2077.100098,2107.550049,2019.621582,3281320
2019-05-30,2123.000000,2156.550049,2114.399902,2146.300049,2056.754639,4971725
2019-05-31,2160.000000,2204.949951,2152.250000,2196.550049,2104.908203,4265370
2019-06-03,2201.000000,2247.649902,2185.649902,2242.300049,2148.749268,3682419
2019-06-04,2224.000000,2224.000000,2175.000000,2183.100098,2108.948730,2408658
2019-06-06,2199.000000,2199.000000,2152.000000,2166.100098,2092.526123,3735467
2019-06-07,2174.000000,2189.800049,2142.100098,2181.750000,2107.644775,2659446
2019-06-10,2196.699951,2235.850098,2185.500000,2231.500000,2155.704834,2080593
2019-06-11,2237.000000,2263.949951,2231.000000,2252.800049,2176.281494,3048937
2019-06-12,2245.000000,2266.899902,2219.000000,2260.899902,2184.106201,2404448
2019-06-13,2264.000000,2285.000000,2243.050049,2254.100098,2177.537354,3320916
2019-06-14,2257.250000,2263.100098,2234.000000,2254.500000,2177.923584,2131408
2019-06-17,2256.000000,2262.000000,2241.449951,2249.199951,2172.803467,1489497
2019-06-18,2244.000000,2260.000000,2231.199951,2250.850098,2174.397949,1877447
2019-06-19,2255.000000,2276.000000,2243.149902,2259.899902,2183.140137,1652817
2019-06-20,2230.000000,2284.000000,2212.000000,2277.949951,2200.577148,2199377
2019-06-21,2285.000000,2292.500000,2242.000000,2249.850098,2173.431885,3871804
2019-06-24,2254.149902,2280.000000,2250.800049,2275.500000,2198.210449,1382424
